sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,006;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[RandomDance@482];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[JonnyBlack@483];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[UtilityBasedAcceptor@484];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentFSEGA@485];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99905;0,99905;0,00095;0,00095;0,99905;[Agent_K@486];[0.9990505457181758];[0.9990505457181758];[0.0];[0.0];[0.9990505457181758];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler@487];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99855;0,99855;0,00145;0,00145;0,99855;[IAMcrazyHaggler@488];[0.9985504140275707];[0.9985504140275707];[0.0];[0.0];[0.9985504140275707];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentSmith@489];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Nozomi@490];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Yushu@491];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99738;0,99738;0,00262;0,00262;0,99738;[TheNegotiator@492];[0.9973784477864589];[0.9973784477864589];[0.0];[0.0];[0.9973784477864589];[Jobs_util2.xml]
0,003;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ValueModelAgent@493];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Gahboninho@494];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BRAMAgent@495];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[KLH@496];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[NiceTitForTat@497];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler2011@498];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Agent_K2@499];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentLG@500];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentMR@501];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TheNegotiatorReloaded@502];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[BRAMAgent2@503];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[CUHKAgent@504];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[IAMhaggler2012@505];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MetaAgent@506];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[OMACagent@507];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[InoxAgent@508];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TheFawkes@509];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,99593;0,99593;0,00407;0,00407;0,99593;[AgentKF@510];[0.9959288618140297];[0.9959288618140297];[0.0];[0.0];[0.9959288618140297];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentI@511];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[MetaAgent2013@512];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,008;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[SlavaAgent@513];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[TMFAgent@514];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99955;0,99955;0,00045;0,00045;0,99955;[AgentM@515];[0.9995506774087809];[0.9995506774087809];[0.0];[0.0];[0.9995506774087809];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentQuest@516];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,568;2;;60rounds;Yes;No;1;0,48438;0,48438;0,51562;0,51562;0,48438;[AgentTD@517];[0.4843757202166332];[0.4843757202166332];[0.0];[0.0];[0.4843757202166332];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,48125;0,48125;0,51875;0,51875;0,48125;[AgentTRP@518];[0.48125403631248714];[0.48125403631248714];[0.0];[0.0];[0.48125403631248714];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,82216;0,82216;0,17784;0,17784;0,82216;[WhaleAgent@519];[0.8221621705785784];[0.8221621705785784];[0.0];[0.0];[0.8221621705785784];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,83990;0,83990;0,16010;0,16010;0,83990;[AgentYK@520];[0.8399033252119713];[0.8399033252119713];[0.0];[0.0];[0.8399033252119713];[Jobs_util2.xml]
;2;Session genius.core.session.Session@344e2583 failed: Failed to execute protocol: Execution failed of ArisawaYaki@521:java.lang.NullPointerException: bid can not be null: bid can not be null:[agents.anac.y2014.ArisawaYaki.ArisawaYaki];60rounds;No;;0;;;;;;[ArisawaYaki];[0.0];[0.0];;;;[Jobs_util2]
0,001;2;;60rounds;Yes;No;1;0,99950;0,99950;0,00050;0,00050;0,99950;[Aster@522];[0.9994998683093949];[0.9994998683093949];[0.0];[0.0];[0.9994998683093949];[Jobs_util2.xml]
;2;Session genius.core.session.Session@11ff62b9 failed: Failed to execute protocol: Execution failed of Atlas@523:java.lang.NullPointerException: null:[agents.anac.y2014.Atlas.Atlas];60rounds;No;;0;;;;;;[Atlas];[0.0];[0.0];;;;[Jobs_util2]
0,000;2;;60rounds;Yes;No;1;0,99905;0,99905;0,00095;0,00095;0,99905;[BraveCat@524];[0.9990505457181758];[0.9990505457181758];[0.0];[0.0];[0.9990505457181758];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[DoNA@525];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
